Department,Municipality,Total 2005,Households 2005
Antioquia,Medellín,2219861,605192
Antioquia,Abejorral,19893,5064
Antioquia,Abriaquí,2173,579
Antioquia,Alejandría,3730,1045
Antioquia,Amagá,27115,6928
Antioquia,Amalfi,20302,4991
Antioquia,Andes,41491,10395
Antioquia,Angelópolis,7648,1980
Antioquia,Angostura,12371,2863
Antioquia,Anorí,9638,2289
Antioquia,Santafé de Antioquia,22613,5546
Antioquia,Anza,7371,1890
Antioquia,Apartadó,134572,33033
Antioquia,Arboletes,31039,6687
Antioquia,Argelia,6823,1683
Antioquia,Armenia,5096,1329
Antioquia,Barbosa,42547,10768
Antioquia,Belmira,6196,1481
Antioquia,Bello,373013,96084
Antioquia,Betania,10120,2400
Antioquia,Betulia,16665,3998
Antioquia,Ciudad Bolívar,28090,7383
Antioquia,Briceño,7953,1846
Antioquia,Buriticá,6472,1543
Antioquia,Cáceres,28145,6124
Antioquia,Caicedo,7669,1837
Antioquia,Caldas,68157,18031
Antioquia,Campamento,3400,803
Antioquia,Cañasgordas,16518,3564
Antioquia,Caracolí,4747,1423
Antioquia,Caramanta,5378,1519
Antioquia,Carepa,42294,9649
Antioquia,El Carmen de Viboral,40968,9992
Antioquia,Carolina,3929,1096
Antioquia,Caucasia,85667,18802
Antioquia,Chigorodó,59597,14262
Antioquia,Cisneros,9617,2714
Antioquia,Cocorná,14306,4164
Antioquia,Concepción,4410,1265
Antioquia,Concordia,21226,5206
Antioquia,Copacabana,61421,16132
Antioquia,Dabeiba,19783,4633
Antioquia,Don Matías,17759,4708
Antioquia,Ebéjico,12313,3394
Antioquia,El Bagre,37862,8206
Antioquia,Entrerrios,8452,2131
Antioquia,Envigado,175337,49052
Antioquia,Fredonia,22581,6277
Antioquia,Frontino,18573,4581
Antioquia,Giraldo,4146,1014
Antioquia,Girardota,42818,11019
Antioquia,Gómez Plata,11229,2607
Antioquia,Granada,9436,2831
Antioquia,Guadalupe,6191,1544
Antioquia,Guarne,39753,10453
Antioquia,Guatapé,5800,1587
Antioquia,Heliconia,6567,1676
Antioquia,Hispania,4801,1299
Antioquia,Itagui,235567,63610
Antioquia,Ituango,24587,5348
Antioquia,Jardín,14323,3759
Antioquia,Jericó,12761,3246
Antioquia,La Ceja,46366,11451
Antioquia,La Estrella,52763,13822
Antioquia,La Pintada,6997,1907
Antioquia,La Unión,17836,4377
Antioquia,Liborina,9370,2420
Antioquia,Maceo,7534,2075
Antioquia,Marinilla,45658,11238
Antioquia,Montebello,7389,1856
Antioquia,Murindó,3499,815
Antioquia,Mutatá,9671,2345
Antioquia,Nariño,9043,2354
Antioquia,Necoclí,48679,10107
Antioquia,Nechí,17789,4077
Antioquia,Olaya,2906,789
Antioquia,Peñol,16177,4489
Antioquia,Peque,7520,1748
Antioquia,Pueblorrico,8168,2145
Antioquia,Puerto Berrío,38944,10324
Antioquia,Puerto Nare,16711,4588
Antioquia,Puerto Triunfo,16349,4446
Antioquia,Remedios,20675,5324
Antioquia,Retiro,16974,4468
Antioquia,Rionegro,101046,26296
Antioquia,Sabanalarga,8136,1888
Antioquia,Sabaneta,44874,12399
Antioquia,Salgar,18074,4252
Antioquia,San Andrés de Cuerquía,4629,1174
Antioquia,San Carlos,11854,3430
Antioquia,San Francisco,6273,1719
Antioquia,San Jerónimo,11603,3059
Antioquia,San José de La Montaña,3077,792
Antioquia,San Juan de Urabá,20938,4581
Antioquia,San Luis,10780,3097
Antioquia,San Pedro,22100,5074
Antioquia,San Pedro de Uraba,28747,6049
Antioquia,San Rafael,13203,3517
Antioquia,San Roque,17958,4541
Antioquia,San Vicente,19273,4862
Antioquia,Santa Bárbara,23442,6132
Antioquia,Santa Rosa de Osos,31028,7561
Antioquia,Santo Domingo,11418,3179
Antioquia,El Santuario,26152,6724
Antioquia,Segovia,34324,9123
Antioquia,Sonson,37065,9642
Antioquia,Sopetrán,13352,3431
Antioquia,Támesis,16212,4511
Antioquia,Tarazá,30633,6919
Antioquia,Tarso,7120,1763
Antioquia,Titiribí,13324,3598
Antioquia,Toledo,5129,1300
Antioquia,Turbo,122780,26795
Antioquia,Uramita,7262,1691
Antioquia,Urrao,32439,8361
Antioquia,Valdivia,16489,3652
Antioquia,Valparaíso,6281,1727
Antioquia,Vegachí,11086,2870
Antioquia,Venecia,13352,3813
Antioquia,Vigía del Fuerte,5320,1206
Antioquia,Yalí,6273,1660
Antioquia,Yarumal,31816,7634
Antioquia,Yolombó,20099,5138
Antioquia,Yondó,13475,3080
Antioquia,Zaragoza,25173,6233
Atlántico,Barranquilla,1112889,257464
Atlántico,Baranoa,50261,10700
Atlántico,Campo de La Cruz,18354,3746
Atlántico,Candelaria,11635,2270
Atlántico,Galapa,31596,6964
Atlántico,Juan de Acosta,14184,3074
Atlántico,Luruaco,22878,4717
Atlántico,Malambo,99058,21672
Atlántico,Manatí,13456,2600
Atlántico,Palmar de Varela,23012,4568
Atlántico,Piojó,4874,891
Atlántico,Polonuevo,13518,2730
Atlántico,Ponedera,18430,3597
Atlántico,Puerto Colombia,26932,6140
Atlántico,Repelón,22196,4894
Atlántico,Sabanagrande,24880,5211
Atlántico,Sabanalarga,84410,17012
Atlántico,Santa Lucía,11947,2320
Atlántico,Santo Tomás,23188,4639
Atlántico,Soledad,455796,102367
Atlántico,Suan,9344,1554
Atlántico,Tubará,10602,2317
Atlántico,Usiacurí,8561,1590
"Bogotá, D.C.","Bogotá, D.C.",6778691,1931372
Bolívar,Cartagena,895400,206634
Bolívar,Achí,19629,4258
Bolívar,Altos del Rosario,10695,2042
Bolívar,Arenal,7364,1468
Bolívar,Arjona,60600,12821
Bolívar,Arroyohondo,8825,1362
Bolívar,Barranco de Loba,15186,3221
Bolívar,Calamar,20771,4217
Bolívar,Cantagallo,7839,1955
Bolívar,Cicuco,10981,2239
Bolívar,Córdoba,12824,2809
Bolívar,Clemencia,11699,2324
Bolívar,El Carmen de Bolívar,66001,13358
Bolívar,El Guamo,7754,1636
Bolívar,El Peñón,7871,1493
Bolívar,Hatillo de Loba,11316,1816
Bolívar,Magangué,121085,25845
Bolívar,Mahates,22983,5528
Bolívar,Margarita,9368,1876
Bolívar,María La Baja,45262,10643
Bolívar,Montecristo,11212,
Bolívar,Mompós,41326,7988
Bolívar,Morales,13254,3006
Bolívar,Pinillos,22714,4380
Bolívar,Regidor,4511,938
Bolívar,Río Viejo,15243,3012
Bolívar,San Cristóbal,6578,1401
Bolívar,San Estanislao,15269,3100
Bolívar,San Fernando,12632,2576
Bolívar,San Jacinto,21218,4633
Bolívar,San Jacinto del Cauca,7204,
Bolívar,San Juan Nepomuceno,32296,7314
Bolívar,San Martín de Loba,14365,2791
Bolívar,San Pablo,27108,6580
Bolívar,Santa Catalina,12042,2615
Bolívar,Santa Rosa,18365,3890
Bolívar,Santa Rosa del Sur,26896,6264
Bolívar,Simití,18139,3938
Bolívar,Soplaviento,8303,2060
Bolívar,Talaigua Nuevo,10973,2160
Bolívar,Tiquisio,18714,3515
Bolívar,Turbaco,63450,13922
Bolívar,Turbaná,13507,2514
Bolívar,Villanueva,17622,3615
Bolívar,Zambrano,10246,2258
Boyacá,Tunja,152419,42449
Boyacá,Almeida,2171,752
Boyacá,Aquitania,16087,4394
Boyacá,Arcabuco,5090,1354
Boyacá,Belén,8471,2328
Boyacá,Berbeo,1862,555
Boyacá,Betéitiva,2413,541
