Department,Municipality,Total 2018,Housing units 2018,Households 2018,People 2018
Antioquia,Medellín,2427129,892151,815493,2372330
Antioquia,Abejorral,20367,8511,6028,17599
Antioquia,Abriaquí,2695,1056,776,2159
Antioquia,Alejandría,4657,2155,1384,3839
Antioquia,Amagá,30227,11638,8884,26821
Antioquia,Amalfi,25962,8629,6798,20265
Antioquia,Andes,43269,14552,12242,38144
Antioquia,Angelópolis,5756,2336,1722,5027
Antioquia,Angostura,11437,4163,3316,10500
Antioquia,Anorí,18321,6550,4741,14502
Antioquia,Santafé de Antioquia,26164,11596,8083,23216
Antioquia,Anza,7010,2972,2113,6388
Antioquia,Apartadó,121003,40234,36056,113469
Antioquia,Arboletes,29295,8442,7700,26289
Antioquia,Argelia,7689,3279,2266,6752
Antioquia,Armenia,5139,2085,1577,3819
Antioquia,Barbosa,51969,19220,16130,44757
Antioquia,Belmira,6000,2295,1563,5349
Antioquia,Bello,522264,175988,161647,481901
Antioquia,Betania,10323,3656,2663,8589
Antioquia,Betulia,15607,6633,4754,15097
Antioquia,Ciudad Bolívar,26118,9375,7495,23361
Antioquia,Briceño,8039,2646,2032,5946
Antioquia,Buriticá,9354,2851,2214,7409
Antioquia,Cáceres,28996,9432,7594,26460
Antioquia,Caicedo,8297,3135,2296,7018
Antioquia,Caldas,79638,26536,24476,76260
Antioquia,Campamento,9203,3095,2211,7432
Antioquia,Cañasgordas,15523,5354,4418,13595
Antioquia,Caracolí,4582,2099,1500,3967
Antioquia,Caramanta,4743,2076,1526,4269
Antioquia,Carepa,47932,16668,14029,45936
Antioquia,El Carmen de Viboral,59416,21854,16907,53949
Antioquia,Carolina,3954,1727,1297,3343
Antioquia,Caucasia,90213,30599,25315,84717
Antioquia,Chigorodó,57375,19561,16927,55564
Antioquia,Cisneros,9775,3950,3207,8910
Antioquia,Cocorná,15444,8536,5108,14743
Antioquia,Concepción,4797,2676,1404,3936
Antioquia,Concordia,21377,6885,5311,16095
Antioquia,Copacabana,77884,27641,25114,76479
Antioquia,Dabeiba,23044,7629,6544,22717
Antioquia,Don Matías,18902,6570,4719,14208
Antioquia,Ebéjico,12158,5348,3828,10338
Antioquia,El Bagre,51862,17054,13126,47642
Antioquia,Entrerrios,11159,3903,2799,8820
Antioquia,Envigado,228848,81472,74474,212437
Antioquia,Fredonia,24408,9147,6674,18790
Antioquia,Frontino,20739,7445,5963,20156
Antioquia,Giraldo,5544,2324,1685,5057
Antioquia,Girardota,51662,17815,15344,49045
Antioquia,Gómez Plata,9753,4473,2991,8235
Antioquia,Granada,10117,6405,3252,9204
Antioquia,Guadalupe,6560,2143,1856,5452
Antioquia,Guarne,55121,21120,13196,42500
Antioquia,Guatapé,8363,3676,2469,7038
Antioquia,Heliconia,5451,2613,1671,4709
Antioquia,Hispania,5469,2257,1716,4950
Antioquia,Itagui,276744,93601,85341,263332
Antioquia,Ituango,27074,7502,5634,23784
Antioquia,Jardín,14518,5521,4474,13541
Antioquia,Jericó,13640,5144,3843,11257
Antioquia,La Ceja,64889,22261,18138,59386
Antioquia,La Estrella,71545,24660,21998,67881
Antioquia,La Pintada,8114,3179,2669,7974
Antioquia,La Unión,21475,7481,6210,20769
Antioquia,Liborina,10028,4204,2588,7928
Antioquia,Maceo,8221,3469,2554,7297
Antioquia,Marinilla,64645,20714,18461,55230
Antioquia,Montebello,6680,3462,2052,5881
Antioquia,Murindó,4911,1257,1156,4642
Antioquia,Mutatá,13991,5022,3706,12607
Antioquia,Nariño,10153,4216,2858,8603
Antioquia,Necoclí,42281,13808,11583,38420
Antioquia,Nechí,25790,8114,7328,24066
Antioquia,Olaya,3127,1551,982,2719
Antioquia,Peñol,21049,10382,6120,18010
Antioquia,Peque,8097,3114,2138,7155
Antioquia,Pueblorrico,8664,3029,2366,7202
Antioquia,Puerto Berrío,39314,14837,12676,36801
Antioquia,Puerto Nare,14380,5772,4406,12161
Antioquia,Puerto Triunfo,18055,6055,5214,17231
Antioquia,Remedios,28415,9850,7241,22530
Antioquia,Retiro,23514,10013,7010,20700
Antioquia,Rionegro,135465,47448,39682,116400
Antioquia,Sabanalarga,9032,4327,2431,7833
Antioquia,Sabaneta,82375,34661,29595,81797
Antioquia,Salgar,18258,6309,5315,15782
Antioquia,San Andrés de Cuerquía,7235,2843,1974,6295
Antioquia,San Carlos,16247,7947,5328,14480
Antioquia,San Francisco,5648,2758,1818,5365
Antioquia,San Jerónimo,15361,8239,4277,13158
Antioquia,San José de La Montaña,3646,1255,965,2952
Antioquia,San Juan de Urabá,20093,6510,5805,19992
Antioquia,San Luis,12995,4605,3699,11120
Antioquia,San Pedro,21949,7858,5251,17119
Antioquia,San Pedro de Uraba,30932,9444,8433,30527
Antioquia,San Rafael,15698,6632,4416,12578
Antioquia,San Roque,21519,8607,6178,17792
Antioquia,San Vicente,22093,9636,5832,18051
Antioquia,Santa Bárbara,26784,10231,7548,22030
Antioquia,Santa Rosa de Osos,36318,13135,9217,31067
Antioquia,Santo Domingo,12394,5478,3312,9786
Antioquia,El Santuario,35422,11950,8923,30311
Antioquia,Segovia,37900,14191,10804,33690
Antioquia,Sonson,36321,14538,10077,31861
Antioquia,Sopetrán,15053,7930,4891,13748
Antioquia,Támesis,16281,6937,5262,15012
Antioquia,Tarazá,26964,10311,7207,22826
Antioquia,Tarso,6184,2358,1835,5663
Antioquia,Titiribí,10775,4064,2861,8316
Antioquia,Toledo,4993,2280,1601,4930
Antioquia,Turbo,124552,39450,32159,114434
Antioquia,Uramita,6888,2881,2087,6523
Antioquia,Urrao,30127,11102,9329,29004
Antioquia,Valdivia,13801,4662,3969,11511
Antioquia,Valparaíso,6498,2659,1942,5431
Antioquia,Vegachí,11810,4474,3598,11134
Antioquia,Venecia,11602,5029,3633,10280
Antioquia,Vigía del Fuerte,9093,2764,2299,8139
Antioquia,Yalí,7608,2600,2246,6234
Antioquia,Yarumal,41542,14112,11371,36337
Antioquia,Yolombó,22538,8684,6310,19010
Antioquia,Yondó,19040,7631,5469,17597
Antioquia,Zaragoza,24651,9307,7247,24067
Atlántico,Barranquilla,1206319,346988,304411,1120103
Atlántico,Baranoa,62382,16964,15862,61527
Atlántico,Campo de La Cruz,22879,6175,5492,22810
Atlántico,Candelaria,15982,3916,3823,15631
Atlántico,Galapa,60708,15780,15350,55123
Atlántico,Juan de Acosta,20999,5943,5230,18828
Atlántico,Luruaco,28175,7393,6992,27647
Atlántico,Malambo,128203,33064,29928,119920
