Location,Department-2018,Municipality-2018,Total 2018,Housing units 2018,Households 2018,People 2018,Total 2005,Households 2005,var_pop,var_households,household/housing ratio,location,point,latitude,longitude,altitude
"Medellín, Antioquia",Antioquia,Medellín,2427129,892151,815493,2372330,2219861,605192.0,0.0068901281566242645,0.02320727644219933,0.9140750837021984,"Medellín, Valle de Aburrá, Antioquia, Región Andina, 0500, Colombia","(6.2443382, -75.573553, 0.0)",6.2443382,-75.573553,0.0
"Abejorral, Antioquia",Antioquia,Abejorral,20367,8511,6028,17599,19893,5064.0,0.0018130287013893298,0.013494750558649127,0.7082598989542944,"Abejorral, Oriente, Antioquia, Región Andina, 055030, Colombia","(5.8049504, -75.42984181835139, 0.0)",5.8049504,-75.42984181835139,0.0
"Abriaquí, Antioquia",Antioquia,Abriaquí,2695,1056,776,2159,2173,579.0,0.016698620041843304,0.022782573599964717,0.7348484848484849,"Abriaquí, Occidente, Antioquia, Región Andina, Colombia","(6.62847905, -76.08327037406424, 0.0)",6.62847905,-76.08327037406424,0.0
"Alejandría, Antioquia",Antioquia,Alejandría,4657,2155,1384,3839,3730,1045.0,0.0172206901357852,0.021847621618391155,0.6422273781902552,"Alejandría, Oriente, Antioquia, Región Andina, Colombia","(6.3557801000000005, -75.09866249389314, 0.0)",6.3557801000000005,-75.09866249389314,0.0
"Amagá, Antioquia",Antioquia,Amagá,30227,11638,8884,26821,27115,6928.0,0.008392597758081433,0.019313424369217236,0.7633614023028011,"Amagá, Suroeste, Antioquia, Región Andina, Colombia","(6.0358169, -75.7009108125, 0.0)",6.0358169,-75.7009108125,0.0
"Amalfi, Antioquia",Antioquia,Amalfi,25962,8629,6798,20265,20302,4991.0,0.019096552627739793,0.024053352952602358,0.7878085525553367,"Amalfi, Nordeste, Antioquia, Región Andina, 052840, Colombia","(7.0204002, -74.95047583580163, 0.0)",7.0204002,-74.95047583580163,0.0
"Andes, Antioquia",Antioquia,Andes,43269,14552,12242,38144,41491,10395.0,0.0032328997400956627,0.012660064066297272,0.8412589334799341,"Andes, Suroeste, Antioquia, Región Andina, Colombia","(5.627871750000001, -75.94516744951865, 0.0)",5.627871750000001,-75.94516744951865,0.0
"Angelópolis, Antioquia",Antioquia,Angelópolis,5756,2336,1722,5027,7648,1980.0,-0.021624411287594514,-0.010681804491038727,0.7371575342465754,"Angelópolis, Suroeste, Antioquia, Región Andina, Colombia","(6.131153899999999, -75.72075627092343, 0.0)",6.131153899999999,-75.72075627092343,0.0
"Angostura, Antioquia",Antioquia,Angostura,11437,4163,3316,10500,12371,2863.0,-0.006020366839817992,0.011363246821909367,0.7965409560413164,"Angostura, Norte, Antioquia, Región Andina, Colombia","(6.869528799999999, -75.3454161996697, 0.0)",6.869528799999999,-75.3454161996697,0.0
"Anorí, Antioquia",Antioquia,Anorí,18321,6550,4741,14502,9638,2289.0,0.05065137888551474,0.05760850732394074,0.7238167938931298,"Anorí, Nordeste, Antioquia, Región Andina, 052857, Colombia","(7.17672705, -75.1562645503356, 0.0)",7.17672705,-75.1562645503356,0.0
"Santafé de Antioquia, Antioquia",Antioquia,Santafé de Antioquia,26164,11596,8083,23216,22613,5546.0,0.011283138107133883,0.02939974157972558,0.6970507071403932,"Santa Fe de Antioquia, Occidente, Antioquia, Región Andina, Colombia","(6.5564008, -75.8277746, 0.0)",6.5564008,-75.8277746,0.0
"Anza, Antioquia",Antioquia,Anza,7010,2972,2113,6388,7371,1890.0,-0.003855293902941148,0.00861628599382458,0.7109690444145357,"Anzá, Occidente, Antioquia, Región Andina, Colombia","(6.3151016, -75.91781620222535, 0.0)",6.3151016,-75.91781620222535,0.0
