,Category,Latitude,Longitude,Latitude_Ref,Longitude_Ref,Distance
Libertadores,Neighborhood,5.454,-75.65,5.4564,-75.6479,0.359
Congo,Neighborhood,5.4547,-75.6514,5.4564,-75.6479,0.4312
El Progreso,Neighborhood,5.4577,-75.65,5.4564,-75.6479,0.2746
Las Palmas,Neighborhood,5.454,-75.6507,5.4564,-75.6479,0.4046
Guayabal,Neighborhood,5.4523,-75.652,5.4564,-75.6479,0.6367
"La Cruz, La Moravia / Morabia",Neighborhood,5.4597,-75.6492,5.4564,-75.6479,0.384
La Plazuela,Neighborhood,5.4584,-75.6499,5.4564,-75.6479,0.312
Popular,Neighborhood,5.4501,-75.6512,5.4564,-75.6479,0.7918
Renán Barco,Neighborhood,5.4472,-75.6522,5.4564,-75.6479,1.1236
Villa Carmenza,Neighborhood,5.457,-75.6504,5.4564,-75.6479,0.2852
La Estrella,Neighborhood,5.4516,-75.6511,5.4564,-75.6479,0.6374
Los Álamos / Alamos,Neighborhood,5.4605,-75.6503,5.4564,-75.6479,0.5225
Codemas,Neighborhood,5.4605,-75.6492,5.4564,-75.6479,0.4754
La Julia,Neighborhood,5.457,-75.6504,5.4564,-75.6479,0.2852
El Lago,Neighborhood,5.4579,-75.6507,5.4564,-75.6479,0.348
Las Galerias,Neighborhood,5.4562,-75.6505,5.4564,-75.6479,0.2831
Centro,Neighborhood,5.456,-75.6498,5.4564,-75.6479,0.2121
Matadero,Neighborhood,5.457,-75.651,5.4564,-75.6479,0.3464
La Pista,Neighborhood,5.4573,-75.6488,5.4564,-75.6479,0.1428
Institución Educativa Supia Sede I,Educational Institution,5.4547,-75.6497,5.4564,-75.6479,0.2775
Instituto Técnico Francisco Jose de Caldas,Educational Institution,5.4592,-75.6503,5.4564,-75.6479,0.4025
Institucion Educativa San Victor - Sede Principal,Educational Institution,5.4501,-75.6512,5.4564,-75.6479,0.7918
Policarpa Salavarrieta,Educational Institution,5.4551,-75.6499,5.4564,-75.6479,0.2622
Escuela Mariscal Robledo,Educational Institution,5.457,-75.6504,5.4564,-75.6479,0.2852
Escuela Natividad Montaño,Educational Institution,5.4607,-75.6498,5.4564,-75.6479,0.5213
"E.S.E Hospital San Lorenzo, IPS San Armando",Health Services,5.4501,-75.6494,5.4564,-75.6479,0.7151
Asociacion ips indigena tricauma,Health Services,5.4562,-75.6501,5.4564,-75.6479,0.2431
Ingruma Salud IPS 2,Health Services,5.454,-75.6502,5.4564,-75.6479,0.369
IPS Clinica Roque Armando Lopez Alvarez E.U.,Health Services,5.4555,-75.6499,5.4564,-75.6479,0.2443
El Roble,Real State Projects,5.4418,-75.6456,5.4564,-75.6479,1.6349
El Roble,Real State Projects,5.4418,-75.6456,5.4564,-75.6479,1.6349
Supía (Parque Central),Park,5.4556,-75.6496,5.4564,-75.6479,0.2057
Hotel La Viña,Hotel Pool,5.4554,-75.6488,5.4564,-75.6479,0.1509
El Pilon,Snack Place,5.4519,-75.6588,5.4564,-75.6479,1.3086
Estadero Caballeriza Chamizal,BBQ Joint,5.4394,-75.6483,5.4564,-75.6479,1.8851
