Department,City,2017,2018,2019,2020,2021
Antioquia,Medellín,5.07,3.95,2.73,4.69,5.96
Atlántico,Barranquilla,2.98,2.06,2.59,2.13,7.21
"Bogotá, D.C.","Bogotá, D.C.",3.8,2.35,2.07,3.27,3.63
Bolívar,Cartagena,2.15,2.39,2.01,2.96,5.99
Caldas,Manizales,4.21,4.76,3.06,5.77,5.64
Cauca,Popayán,3.59,1.51,2.49,2.94,7.79
Huila,Neiva,2.19,3.09,0.9,3.38,8.77
Magdalena,Santa Marta,1.16,4.59,1.88,2.64,5.72
Nariño,Pasto,4.31,4.85,2.8,3.2,6.81
Norte de Santander,Cúcuta,2.74,1.98,2.07,2.15,5.5
Quindío,Armenia,5.85,3.31,3.29,2.52,8.39
Risaralda,Pereira,4.86,3.75,3.88,3.57,8.18
Santander,Bucaramanga,1.99,3.48,2.73,4.01,7.9
Tolima,Ibagué,1.78,2.96,2.07,1.83,5.78
Valle del Cauca,Cali,5.49,3.74,2.97,3.31,6.56
