Department,City,2017,2018,2019,2020,2021
Antioquia,Medellín,4.16,3.69,4.49,2.58,1.99
Atlántico,Barranquilla,3.24,3.69,4.13,2.24,2.86
"Bogotá, D.C.","Bogotá, D.C.",4.63,3.06,3.49,1.17,1.95
Bolívar,Cartagena,3.17,3.45,3.88,0.35,2.05
Boyacá,Tunja,3.35,3.37,3.9,1.34,1.79
Caldas,Manizales,4.29,3.31,3.74,2.27,2.47
Caquetá,Florencia,2.98,2.65,3.94,1.55,1.8
Cauca,Popayán,4,2.76,3.71,2.68,2.78
Cesar,Valledupar,3.41,2.37,3.6,0.91,2.92
Córdoba,Montería,2.79,3.37,3.99,0.77,2.01
Huila,Neiva,2.61,2.84,2.72,1.93,2.05
La Guajira,Riohacha,1.28,2.84,4.79,2.3,1.92
Magdalena,Santa Marta,2.84,2.73,3.83,2.11,2.89
Meta,Villavicencio,1.78,2.43,2.94,0.97,2.59
Nariño,Pasto,4,3.36,3.87,1.1,2.23
Norte de Santander,Cúcuta,2.87,2.89,3.79,2.89,2.79
Quindío,Armenia,3.78,2.81,4.28,2.54,2.74
Risaralda,Pereira,4.11,3.17,3.72,2.17,2.66
Santander,Bucaramanga,3.76,2.79,3.76,1.12,2.69
Sucre,Sincelejo,1.67,3.47,3.53,0.93,1.58
Tolima,Ibagué,2.91,3.02,3.37,0.22,2.48
Valle del Cauca,Cali,4.28,3.08,4.53,1.85,2.14
