Department,City,2017,2018,2019,2020,2021
Antioquia,Medellín,8.506464556,9.121538335,10.20408163,7.810578106,3.987325854
Atlántico,Barranquilla,6.576833839,4.010717575,3.807760425,4.893369523,0.878899896
"Bogotá, D.C.","Bogotá, D.C.",7.987102718,5.323323665,10.82941844,4.962362055,2.233459825
Bolívar,Cartagena,9.435788251,1.29112133,6.251091322,-2.547247329,5.100897976
Caldas,Manizales,8.665148064,11.46235117,8.395396073,6.606981748,5.275625936
Cauca,Popayán,11.72425503,10.4331307,11.18144912,5.582374056,9.491640094
Huila,Neiva,2.092689919,2.648820666,-0.346494028,0.274499039,2.901253764
Meta,Villavicencio,-4.299693585,-4.017764925,26.99881631,-0.177935943,1.640917579
Nariño,Pasto,12.73411856,24.82658217,6.256860593,3.170196281,8.675267539
Norte de Santander,Cúcuta,9.814119233,8.156463778,-5.027570548,4.900956284,7.870299528
Quindío,Armenia,11.48901249,4.743600229,8.69836808,5.64614611,5.150144829
Risaralda,Pereira,14.055689,13.1658997,13.20559653,8.261796043,-1.788422
Santander,Bucaramanga,3.572068039,4.209525456,-0.149303251,1.810932049,2.086107213
Tolima,Ibagué,10.74012728,4.817759584,8.899737139,1.220689655,1.29600327
Valle del Cauca,Cali,10.19593277,11.62888683,11.61772477,10.2191262,1.644724182
