Department,City,Total Unit Var.,VIS Var.,No-VIS Var.
Antioquia,Medellín,-0.3,-0.28,-0.31
Atlántico,Barranquilla,0.05,0.08,-0.19
"Bogotá, D.C.","Bogotá, D.C.",0.2,0.41,-0.28
Bolívar,Cartagena,-0.25,-0.28,-0.2
Caldas,Manizales,-0.42,-0.43,-0.4
Córdoba,Montería,-0.44,-0.58,1.83
Magdalena,Santa Marta,0.17,0.2,0.12
Meta,Villavicencio,-0.9,-1.09,-0.51
Norte de Santander,Cúcuta,-0.38,-0.34,-0.51
Quindío,Armenia,-0.17,0.26,-0.63
Risaralda,Pereira,-0.14,-0.21,0.08
Santander,Bucaramanga,0.25,0.18,0.43
Tolima,Ibagué,-0.07,0.19,-0.83
Valle del Cauca,Cali,0.36,0.31,0.71
