Department,City,Unit Var.,rot2020 vis,rot2020 no-vis,rot2020 total,rot2021 vis,rot2021 no-vis,rot2021 total
Antioquia,Medellín,-0.248,9.50,17.40,14.10,6.40,10.60,8.80
Atlántico,Barranquilla,-0.022,6.70,23.80,9.70,5.30,10.50,6.30
"Bogotá, D.C.","Bogotá, D.C.",0.309,3.00,14.20,6.00,3.80,10.50,5.40
Bolívar,Cartagena,-0.074,7.70,25.20,12.60,7.90,12.60,9.90
Caldas,Manizales,-0.334,5.20,21.30,10.00,4.00,10.10,6.90
Córdoba,Montería,-0.178,9.60,27.20,15.60,9.60,26.50,15.60
Magdalena,Santa Marta,-0.023,2.50,11.10,6.30,3.30,11.80,7.30
Meta,Villavicencio,-0.407,11.30,15.70,12.80,6.70,11.40,7.90
Norte de Santander,Cúcuta,-0.354,8.20,24.50,12.60,5.10,12.60,7.20
Quindío,Armenia,-0.283,9.00,19.50,13.80,6.20,10.60,8.30
Risaralda,Pereira,-0.278,7.20,12.20,9.00,3.50,8.70,5.20
Santander,Bucaramanga,0.018,4.30,23.80,11.60,6.50,24.60,12.90
Tolima,Ibagué,-0.057,8.00,15.40,9.90,6.20,12.20,7.00
Valle del Cauca,Cali,0.079,2.20,14.70,3.70,2.00,10.20,3.10
